special_info,
Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
600,400,2.5,-0.05,0,-0.01
start_time,5941.159
omega,2.0
amplitude,0.0,amp_0,50.0
phase/pi,0.0
time,angle,position,angular_velocity,cart_velocity
0.0,0.0,1.0,0.0,0.0
0.051000000000385626,0.0,-6.0,0.0,-333.3336
0.10200000000077125,-0.0169,11.0,-0.6038,-49.9984
0.15300000000024738,0.0061,-31.0,0.3024,-227.2752
0.20300000000042928,-0.0153,-55.0,0.285,-1000.0027
0.2539999999999054,0.0031,-72.0,-1.1326,499.9939
0.3079999999999927,0.0077,-120.0,0.5881,-500.0096
0.3580000000001746,0.0061,-160.0,0.59,-600.0125
0.41200000000026193,0.0092,-200.0,-0.249,-666.6336
0.4639999999999418,0.0123,-244.0,-0.5062,-520.8333
0.5170000000007349,0.0184,-288.0,0.0,-676.6322
0.5700000000006185,0.0199,-333.0,0.4935,-769.4535
0.623000000000502,0.023,-375.0,-0.2492,-725.0607
0.6760000000003856,0.0245,-420.0,0.2459,-864.7166
0.7280000000000655,0.0276,-460.0,0.0,-706.5348
0.7820000000001528,0.0322,-504.0,0.2487,-786.6772
0.8340000000007421,0.0322,-540.0,0.0,-765.3062
0.8870000000006257,0.0384,-575.0,0.0,-710.2897
0.9380000000001019,0.0384,-604.0,0.2515,-652.9887
0.9880000000002838,0.0399,-629.0,0.2512,-698.7198
1.0399999999999636,0.0399,-648.0,0.0,-612.9921
1.0900000000001455,0.0414,-670.0,0.4517,-545.9069
1.1420000000007349,0.0322,-684.0,0.4946,-810.2564
1.1959999999999127,0.0337,-672.0,-0.9924,102.9152
1.25,0.043,-699.0,0.6453,-518.2947
1.300000000000182,0.023,-677.0,-0.5074,-186.5942
1.3500000000003638,0.0353,-666.0,-0.738,389.9813
1.4020000000000437,0.043,-672.0,0.8973,-163.5101
1.4520000000002256,0.0276,-642.0,-0.3056,176.6035
1.5030000000006112,0.0368,-621.0,-0.7267,784.5673
1.553000000000793,0.0276,-597.0,0.0,189.8571
1.606999999999971,0.0291,-565.0,0.0,429.3729
1.660000000000764,0.023,-528.0,-0.2488,427.5036
1.71100000000024,0.0276,-492.0,0.0,671.6418
1.7650000000003274,0.0199,-447.0,-0.2467,567.446
1.8170000000000073,0.0199,-399.0,0.0,672.9167
1.8710000000000946,0.0169,-351.0,0.0,653.9816
1.9239999999999782,0.0138,-301.0,0.0,859.5232
1.9770000000007713,0.0138,-253.0,0.7386,803.5992
2.030000000000655,0.0061,-198.0,-0.246,831.6667
2.0830000000005384,0.0046,-150.0,0.2469,893.617
2.136000000000422,-0.0015,-104.0,-0.4971,784.306
2.191000000000713,-0.0046,-60.0,-0.2469,876.4435
2.243000000000393,-0.0107,-22.0,0.0,716.821
2.2940000000007785,-0.0107,7.0,0.0,796.1747
2.3450000000002547,-0.0107,34.0,0.0,711.1713
2.399000000000342,-0.0138,56.0,-0.2518,585.4431
2.4520000000002256,-0.0015,62.0,0.0,696.6667
2.5039999999999054,-0.0107,55.0,0.5993,-72.0613
2.5560000000004948,-0.0123,76.0,-0.646,537.4564
2.6080000000001746,0.0,54.0,0.0,211.8182
2.6640000000006694,-0.0046,34.0,0.7326,-555.4253
2.713999999999942,0.0,23.0,0.0,69.4165
2.7650000000003274,0.0046,-14.0,0.2483,-414.5963
2.816000000000713,0.0031,-37.0,0.0,-346.1075
2.867000000000189,0.0061,-65.0,0.2507,-389.5001
2.918000000000575,0.0061,-101.0,0.2488,-650.924
2.9700000000002547,0.0061,-136.0,0.0,-526.8817
3.0230000000001382,0.0107,-178.0,0.0,-685.6089
3.0750000000007276,0.0123,-216.0,0.0,-677.1628
3.128000000000611,0.0153,-260.0,0.0,-630.9283
