special_info,
Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
450.0,315.0,3.00,-0.030,0,-0.0050
start_time,62.245
omega,2.0
amplitude,0.0,amp_0,50.0
phase/pi,0.0
time,angle,position,angular_velocity,cart_velocity
0.0,0.0,0.0,0.0,0.0
0.05000000000000426,0.0015,0.0,1.3587,0.0
0.10200000000000387,0.0107,0.0,0.8955,624.9359
0.15200000000000102,0.0061,8.0,0.3048,428.5794
0.2020000000000053,0.0107,13.0,0.305,333.3493
0.2530000000000001,0.0031,25.0,-0.3126,478.7792
0.3049999999999997,0.0031,33.0,-0.5189,343.0712
0.355000000000004,-0.0031,40.0,-0.7741,379.0371
0.40800000000000125,-0.0046,53.0,-0.6594,364.367
0.4580000000000055,-0.0061,66.0,-0.6591,364.011
0.5080000000000027,-0.0077,81.0,-0.7291,51.9414
0.5590000000000046,-0.0077,98.0,-0.7343,126.6667
0.6090000000000018,-0.0077,116.0,0.0,136.0104
0.6600000000000037,-0.0077,139.0,0.0,145.8333
0.713000000000001,-0.0061,163.0,0.0,420.6444
0.7660000000000053,-0.0077,190.0,0.0,454.7549
0.818000000000005,-0.0077,218.0,-0.2511,478.7564
0.8680000000000021,-0.0077,245.0,0.0,544.9123
0.919000000000004,-0.0061,277.0,0.0,555.5555
0.970000000000006,-0.0107,307.0,0.2539,397.8175
1.0230000000000032,-0.0138,344.0,-0.2493,669.9623
1.0750000000000028,-0.0153,378.0,-0.2482,686.0394
1.1280000000000001,-0.0153,413.0,-0.2483,692.5595
1.1799999999999997,-0.0169,449.0,-0.2486,707.9306
1.233000000000004,-0.0184,485.0,0.0,761.3724
1.284000000000006,-0.0215,519.0,-0.248,611.4382
1.3360000000000056,-0.023,552.0,-0.248,724.1747
1.3860000000000028,-0.023,578.0,0.3011,559.3354
1.4370000000000047,-0.0261,605.0,0.0,631.473
1.4870000000000019,-0.0276,628.0,0.0,476.4923
1.5390000000000015,-0.0291,646.0,0.0,427.7157
1.5920000000000059,-0.0307,662.0,0.0,342.5474
1.6440000000000055,-0.0322,673.0,-0.5556,449.9555
1.696000000000005,-0.0291,677.0,-0.7648,469.7266
1.7469999999999999,-0.0307,671.0,-0.7072,44.8925
1.8019999999999996,-0.0353,658.0,-0.2535,-236.73
1.8560000000000016,-0.0245,641.0,0.2565,-206.8528
1.9100000000000037,-0.0245,621.0,0.253,-273.2877
1.9649999999999963,-0.023,600.0,0.2504,-328.0822
2.020000000000003,-0.0245,571.0,0.0,-406.0626
2.0730000000000004,-0.023,533.0,0.4959,-463.5676
2.1259999999999977,-0.0245,497.0,0.0,-557.8442
2.179000000000009,-0.023,454.0,0.2477,-643.9394
2.2320000000000064,-0.023,407.0,0.0,-718.1576
2.2850000000000037,-0.023,357.0,0.0,-675.7179
2.338000000000001,-0.023,298.0,0.0,-908.3942
2.392000000000003,-0.023,238.0,0.2411,-976.1441
2.4469999999999956,-0.0215,170.0,0.0,-1017.6746
2.5020000000000024,-0.0215,98.0,0.478,-1092.803
2.5570000000000093,-0.0245,24.0,0.0,-1112.0481
2.612000000000002,-0.0245,-60.0,0.0,-1266.1633
2.6679999999999993,-0.023,-148.0,0.0,-1349.4856
2.723000000000006,-0.023,-238.0,-0.7055,-1298.8778
2.7730000000000032,-0.023,-327.0,0.0,-1585.7854
2.8290000000000006,-0.023,-432.0,0.2312,-1625.2156
2.878999999999998,-0.0199,-526.0,0.6881,-1847.4702
2.929000000000009,-0.0215,-626.0,0.4587,-1884.3386
2.979999999999997,-0.0199,-732.0,0.455,-2011.2391
3.0300000000000082,-0.0215,-839.0,0.4542,-2006.9063
3.080999999999996,-0.0215,-950.0,0.2257,-2005.3745
3.131999999999998,-0.0199,-1066.0,0.4473,-2103.4163
3.1840000000000046,-0.0169,-1188.0,0.4441,-2215.1091
3.2350000000000065,-0.0153,-1313.0,0.222,-2313.8726
3.288000000000004,-0.0107,-1441.0,0.4435,-2222.845
3.3390000000000057,-0.0077,-1571.0,0.8882,-2471.2456
3.3909999999999982,-0.0046,-1701.0,0.6603,-2429.0752
3.4439999999999955,0.0,-1835.0,0.4369,-2423.1116
3.496000000000002,0.0077,-1970.0,0.6617,-2487.031
3.548000000000009,0.0123,-2103.0,-0.2221,-2445.1851
3.6000000000000014,0.023,-2236.0,0.2207,-2428.4722
3.652000000000008,0.0353,-2361.0,0.2225,-2448.061
3.7040000000000006,0.0491,-2485.0,0.4448,-2422.8494
3.7550000000000026,0.0675,-2602.0,0.6741,-2431.1365
