file_path,special_info,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos,start_time,omega,phase/pi,iae_angle,iae_position,max_angle_deviation,max_position_overshoot,control_effort_proxy,fitness_score
.\cart_pendulum_data_3\pid_set_3\23-07-csv\pid-12-00-57.csv,,600.0,420.0,3.5,-0.06,0.0,-0.014,1923.061,2.0,0.0,37.9476,69008.0,4.0881,1453.0,1798.82146162,35062.641646162
.\cart_pendulum_data_2\pid_set_1\23-07-csv\pid-11-31-45.csv,,600.0,420.0,2.0,-0.06,0.0,-0.008,167.674,2.0,0.0,22.413800000000002,70278.0,3.0066,1901.0,1412.62735696,35714.310135695996
.\cart_pendulum_data_1\pid_set_1\22-07-csv\pid-17-16-06.csv,,500.0,350.0,2.0,-0.04,0.0,-0.008,736.365,2.0,0.0,23.1048,70492.0,3.1677,1731.0,1321.35448434,35780.048148434
.\cart_pendulum_data_3\pid_set_12\23-07-csv\pid-12-14-31.csv,,700.0,490.0,2.0,-0.06,0.0,-0.014,2737.423,2.0,0.0,14.373,70720.0,1.83,1652.0,600.49290172,35784.685290172
.\cart_pendulum_data_3\pid_set_14\23-07-csv\pid-12-17-03.csv,,700.0,490.0,2.0,-0.08,0.0,-0.008,2888.969,2.0,0.0,7.9395999999999995,72852.0,0.5768,2562.0,75.93629302,36963.603229302
.\cart_pendulum_data_4\pid_set_19\23-07-csv\pid-12-54-09.csv,,800.0,560.0,2.0,-0.04,0.0,-0.008,5116.243,2.0,0.0,1.2362,78572.0,0.092,3008.0,12.155084819999999,39891.56390848199
.\cart_pendulum_data_1\pid_set_28\22-07-csv\pid-17-51-58.csv,,600.0,420.0,2.0,-0.04,0.0,-0.008,2888.438,2.0,0.0,10.6464,82232.0,1.2395,2194.0,354.33974732,41615.245274732006
.\cart_pendulum_data_4\pid_set_16\23-07-csv\pid-12-48-01.csv,,700.0,490.0,3.5,-0.08,0.0,-0.008,4745.006,2.0,0.0,8.7744,82386.0,0.5998,2454.0,106.83717666000001,41713.831917666
.\cart_pendulum_data_3\pid_set_2\23-07-csv\pid-12-00-02.csv,,600.0,420.0,3.5,-0.06,0.0,-0.008,1868.09,2.0,0.0,34.0328,85336.0,4.1341,2404.0,1848.59631332,43414.12753133201
.\cart_pendulum_data_9\pid_set_7\23-07-csv\pid-15-32-39.csv,,450.0,315.0,3.0,-0.043,0.0,-0.0117,443.395,2.0,0.0,11.106200000000001,86088.0,1.0278,2306.0,229.37087644000005,43553.432887644
.\cart_pendulum_data_1\pid_set_22\22-07-csv\pid-17-44-35.csv,,500.0,350.0,3.5,-0.06,0.0,-0.008,2441.646,2.0,0.0,13.290400000000002,87414.0,1.2042,2048.0,385.84422416,44185.377822416005
.\cart_pendulum_data_7\pid_set_8\23-07-csv\pid-15-01-31.csv,,800.0,560.0,3.5,-0.06,0.0,-0.008,12756.682,2.0,0.0,13.4776,89994.0,1.6383,1727.0,530.97124266,45427.367224266
.\cart_pendulum_data_1\pid_set_4\22-07-csv\pid-17-20-59.csv,,500.0,350.0,2.0,-0.06,0.0,-0.008,1017.62,2.0,0.0,19.239400000000003,91160.0,2.0985,1730.0,874.8858803200001,46058.262888032
.\cart_pendulum_data_6\pid_set_6\23-07-csv\pid-13-25-54.csv,,800.0,560.0,2.75,-0.06,0.0,-0.008,6977.616,2.0,0.0,15.364,93262.0,0.0199,81.0,1478.5940462,46825.84710462
.\cart_pendulum_data_4\pid_set_4\23-07-csv\pid-12-30-07.csv,,700.0,490.0,2.75,-0.06,0.0,-0.008,3673.432,2.0,0.0,27.141800000000003,92414.0,3.542,2404.0,1553.1144703199998,46908.021047032
.\cart_pendulum_data_2\pid_set_8\23-07-csv\pid-11-40-14.csv,,600.0,420.0,2.75,-0.04,0.0,-0.014,680.034,2.0,0.0,9.5938,93128.0,0.9158,2299.0,229.64719952000002,47068.699719952
.\cart_pendulum_data_7\pid_set_2\23-07-csv\pid-14-51-08.csv,,800.0,560.0,2.75,-0.08,0.0,-0.008,12128.178,2.0,0.0,10.561599999999999,93500.0,0.6213,2319.0,208.13003762,47257.600103762
.\cart_pendulum_data_4\pid_set_22\23-07-csv\pid-12-57-37.csv,,800.0,560.0,2.0,-0.06,0.0,-0.008,5322.939,2.0,0.0,22.383399999999998,93252.0,2.9928,2287.0,1368.4685041199998,47273.992050412
.\cart_pendulum_data_1\pid_set_19\22-07-csv\pid-17-41-06.csv,,500.0,350.0,3.5,-0.04,0.0,-0.008,2236.136,2.0,0.0,45.629599999999996,98638.0,4.8781,2382.0,2153.9356233400003,50116.687062334
.\cart_pendulum_data_3\pid_set_1\23-07-csv\pid-11-59-07.csv,,600.0,420.0,3.5,-0.04,0.0,-0.02,1812.211,2.0,0.0,8.299000000000001,110980.0,0.6075,2366.0,144.49957346,55996.070457345995
.\cart_pendulum_data_1\pid_set_9\22-07-csv\pid-17-29-02.csv,,500.0,350.0,2.0,-0.08,0.0,-0.02,1504.912,2.0,0.0,50.185,115826.0,4.332,2072.0,1940.3064798,58634.79664798
.\cart_pendulum_data_2\pid_set_12\23-07-csv\pid-11-46-44.csv,,600.0,420.0,2.75,-0.06,0.0,-0.02,1068.888,2.0,0.0,9.24,116336.0,0.2178,2773.0,97.60585912,58751.493985912006
.\cart_pendulum_data_1\pid_set_18\22-07-csv\pid-17-40-11.csv,,500.0,350.0,2.75,-0.08,0.0,-0.02,2174.4,2.0,0.0,20.604,116730.0,1.3162,1935.0,525.37241362,58849.693841362
.\cart_pendulum_data_2\pid_set_9\23-07-csv\pid-11-41-09.csv,,600.0,420.0,2.75,-0.04,0.0,-0.02,735.158,2.0,0.0,30.949,119146.0,3.8227,2843.0,1768.21157546,60391.787257546
.\cart_pendulum_data_4\pid_set_20\23-07-csv\pid-12-55-05.csv,,800.0,560.0,2.0,-0.04,0.0,-0.014,5170.444,2.0,0.0,13.6398,125980.0,1.6276,2273.0,592.7582042600001,63536.038220426
.\cart_pendulum_data_1\pid_set_24\22-07-csv\pid-17-48-20.csv,,500.0,350.0,3.5,-0.06,0.0,-0.02,2597.845,2.0,0.0,28.868199999999998,128850.0,0.0522,195.0,1540.9960087,64675.992600870006
.\cart_pendulum_data_9\pid_set_10\23-07-csv\pid-15-35-30.csv,,450.0,315.0,3.0,-0.057,0.0,-0.0083,608.994,2.0,0.0,19.615000000000002,128796.0,1.5923,1955.0,533.6407961799999,64886.370979618
