special_info,
Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
600,400,2.5,-0.05,0,-0.01
start_time,252.663
omega,2.0
amplitude,0.0,amp_0,50.0
phase/pi,0.0
time,angle,position,angular_velocity,cart_velocity
0.0,0.0,0.0,0.0,0.0
0.054000000000002046,0.0061,11.0,0.0,500.0
0.10499999999998977,0.0,-25.0,0.8642,-500.0316
0.15699999999998226,-0.0061,-24.0,-0.2968,-625.0356
0.2109999999999843,0.0031,-37.0,-0.6103,357.0618
0.2629999999999768,0.0123,-76.0,0.6102,-181.9684
0.3160000000000025,-0.0015,-92.0,0.8729,-750.1581
0.36599999999998545,0.0092,-89.0,-0.6121,374.8024
0.4159999999999968,0.0123,-136.0,0.7438,-548.7568
0.46599999999997976,0.0046,-143.0,-0.2569,-375.6994
0.5159999999999911,0.0138,-170.0,0.0,-408.046
0.5669999999999789,0.0138,-191.0,0.3941,-463.5938
0.617999999999995,0.0138,-212.0,0.0,-521.968
0.667999999999978,0.0153,-235.0,0.0,-323.2758
0.7229999999999848,0.0153,-256.0,0.2519,-401.2213
0.7729999999999961,0.0184,-275.0,0.2569,-383.871
0.8249999999999886,0.0199,-299.0,0.5083,-577.3555
0.875,0.0199,-315.0,0.2542,-512.3431
0.929000000000002,0.0138,-332.0,0.2491,-656.2622
0.9799999999999898,0.0138,-322.0,-0.9473,175.1299
1.0319999999999823,0.0245,-336.0,0.0,82.9718
1.0819999999999936,0.0199,-345.0,0.7575,-390.8297
1.134999999999991,0.0138,-337.0,0.0,-272.5225
1.1859999999999786,0.0138,-321.0,-0.7453,419.0372
1.2399999999999807,0.0261,-325.0,0.254,122.8448
1.292999999999978,0.0123,-310.0,0.5114,-513.8004
1.343999999999994,0.0153,-279.0,-0.497,400.273
1.393999999999977,0.0107,-258.0,-0.2506,418.7384
1.4439999999999884,0.0092,-228.0,-0.2484,535.4046
1.4949999999999761,0.0092,-190.0,-0.4934,666.9039
1.5480000000000018,0.0077,-153.0,0.0,572.5707
1.600999999999999,0.0061,-108.0,0.2494,611.4602
1.6550000000000011,0.0015,-59.0,-0.2461,625.3561
1.7079999999999984,0.0,-16.0,0.2471,647.5464
1.7609999999999957,-0.0031,34.0,0.0,891.7367
1.8149999999999977,-0.0061,82.0,0.0,818.7809
1.867999999999995,-0.0123,125.0,0.0,691.8542
1.921999999999997,-0.0153,170.0,0.2498,679.3032
1.9739999999999895,-0.0184,202.0,0.0,692.3077
2.024000000000001,-0.0215,230.0,0.0,577.4639
2.073999999999984,-0.0245,246.0,0.0,378.5942
2.1259999999999764,-0.0215,248.0,0.2544,23.1884
2.180999999999983,-0.0291,258.0,-0.2513,114.2341
2.2309999999999945,-0.0107,255.0,-0.4983,836.2985
2.2809999999999775,-0.0184,227.0,0.9669,-515.0094
2.3319999999999936,-0.0107,212.0,0.0,2.7445
2.3819999999999766,-0.0077,175.0,0.2483,-360.7724
2.4350000000000023,-0.0046,136.0,0.0,-377.7221
2.488999999999976,-0.0077,90.0,-0.2487,-413.169
2.542999999999978,-0.0046,42.0,0.0,-601.1453
2.59699999999998,-0.0031,-9.0,-0.4931,-694.6791
2.650999999999982,0.0,-67.0,-0.2461,-660.0699
2.704999999999984,0.0046,-126.0,-0.2468,-699.398
2.758999999999986,0.0092,-185.0,-0.2473,-742.7966
2.812999999999988,0.0123,-241.0,-0.2472,-818.5619
2.8669999999999902,0.0184,-296.0,-0.2477,-906.7999
2.9209999999999923,0.023,-348.0,-0.2473,-916.231
2.9749999999999943,0.023,-400.0,0.0,-970.3125
3.0289999999999964,0.0291,-450.0,0.0,-905.5997
3.0819999999999936,0.0307,-494.0,-0.4985,-815.9091
3.134999999999991,0.0368,-532.0,-0.2549,-776.4922
3.187999999999988,0.0383,-561.0,0.0,-762.0314
3.2399999999999807,0.0414,-583.0,0.4521,-658.563
3.289999999999992,0.0414,-587.0,-0.448,-537.2951
3.341000000000008,0.0414,-597.0,1.112,-631.6123
3.3940000000000055,0.0276,-576.0,0.0,-287.6344
3.447999999999979,0.0291,-548.0,-0.248,60.4293
3.5,0.0276,-518.0,0.0,182.6923
3.551999999999964,0.0261,-481.0,0.2481,291.259
3.6049999999999613,0.0245,-435.0,0.0,391.1636
3.6580000000000155,0.0215,-387.0,0.2461,515.0076
3.7110000000000127,0.0199,-331.0,0.2459,673.8672
3.7649999999999864,0.0184,-270.0,0.2416,868.7702
3.8179999999999836,0.0153,-206.0,0.2424,948.718
3.872000000000014,0.0138,-136.0,0.2418,925.2708
3.926999999999964,0.0123,-64.0,0.0,965.1057
3.9809999999999945,0.0092,13.0,0.0,1208.344
4.036000000000001,0.0061,97.0,-0.2355,1297.5939
4.091000000000008,-0.0015,178.0,0.0,1264.9371
4.146000000000015,-0.0046,263.0,0.0,1283.6318
4.199999999999989,-0.0138,346.0,-0.7076,1507.9135
4.2549999999999955,-0.0199,420.0,0.0,1303.3929
4.310000000000002,-0.0261,494.0,0.0,1242.5857
4.363999999999976,-0.0383,554.0,0.0,1098.7526
4.416999999999973,-0.0476,600.0,0.0,1096.6984
4.468999999999994,-0.0552,635.0,0.3028,865.0497
4.5190000000000055,-0.0522,643.0,-0.2514,855.7994
4.569000000000017,-0.0445,621.0,0.2483,132.1933
4.620999999999981,-0.0491,600.0,0.2456,-157.3745
4.673999999999978,-0.0383,562.0,-0.2478,-82.3296
4.728999999999985,-0.0383,507.0,-0.4904,-235.5169
4.7830000000000155,-0.0368,438.0,-0.241,-448.4437
4.83299999999997,-0.0368,368.0,-0.7055,-801.0892
4.8840000000000146,-0.0353,285.0,-0.466,-1158.7301
4.933999999999969,-0.0383,188.0,-0.4587,-1366.5358
4.9839999999999804,-0.0368,80.0,-0.4548,-1581.5358
5.034999999999968,-0.0414,-38.0,-0.4477,-1825.3711
5.086999999999989,-0.0476,-174.0,-0.4446,-1968.3761
5.139999999999986,-0.0537,-320.0,-0.8742,-2174.5129
5.192999999999984,-0.0644,-476.0,-0.8743,-2417.0398
5.245999999999981,-0.089,-640.0,-1.0918,-2509.1208
5.298000000000002,-0.1319,-818.0,-1.7486,-2732.5073
5.350999999999999,-0.1902,-1010.0,-1.5305,-3099.1501
5.402999999999963,-0.2777,-1150.0,-1.9644,-2597.8022
5.456000000000017,-0.408,-1290.0,-3.2782,-2654.9602
5.5090000000000146,-0.6105,-1430.0,-5.0273,-2703.4333
5.562000000000012,-0.8544,-1570.0,2.8379,-2743.1318
5.615000000000009,-0.5262,-1710.0,5.9024,-2779.9414
5.668000000000006,-0.2608,-1850.0,4.1792,-2805.9556
5.721000000000004,-0.0337,-1990.0,3.4953,-2825.3105
