special_info,
Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
450.0,315.0,3.00,-0.043,0,-0.0083
start_time,385.954
omega,2.0
amplitude,0.0,amp_0,50.0
phase/pi,0.0
time,angle,position,angular_velocity,cart_velocity
0.0,0.0,0.0,0.0,0.0
0.05099999999998772,0.0,0.0,0.0,0.0
0.10099999999999909,0.0,0.0,0.0,0.0
0.1519999999999868,-0.0015,1.0,0.0,-135.2814
0.20199999999999818,-0.0046,13.0,0.0,104.4162
0.2540000000000191,0.0046,21.0,-0.7784,522.3881
0.3050000000000068,-0.0046,40.0,-0.4822,213.447
0.3569999999999709,-0.0046,60.0,-0.2648,376.7419
0.40699999999998226,-0.0061,86.0,-0.2627,503.9809
0.46100000000001273,-0.0077,116.0,-0.2531,527.2346
0.5109999999999673,-0.0061,150.0,-0.2527,560.054
0.5620000000000118,-0.0077,187.0,0.0,619.1838
0.6150000000000091,-0.0123,229.0,0.0,603.125
0.6669999999999732,-0.0138,276.0,-0.2462,795.5729
0.7210000000000036,-0.0153,328.0,0.2437,755.4387
0.7740000000000009,-0.0169,381.0,-0.2438,854.2979
0.8279999999999745,-0.0215,438.0,-0.2417,980.0398
0.8829999999999814,-0.023,494.0,-0.2413,1036.1991
0.9370000000000118,-0.0307,556.0,-0.4876,949.2635
0.9909999999999854,-0.0368,612.0,-0.2438,1096.1338
1.0439999999999827,-0.0399,666.0,0.0,947.6117
1.09699999999998,-0.0476,716.0,-0.4914,1005.6789
1.1510000000000105,-0.0568,758.0,-0.2477,722.6027
1.2019999999999982,-0.0598,784.0,-0.2508,717.3253
1.254000000000019,-0.0644,806.0,-0.4451,636.78
1.3100000000000023,-0.0598,811.0,-0.7433,796.0098
1.3600000000000136,-0.0537,792.0,0.5548,260.8333
1.4150000000000205,-0.0522,770.0,0.0,129.0323
1.4669999999999845,-0.0476,731.0,0.7371,-290.0901
1.5199999999999818,-0.046,690.0,0.0,-306.6509
1.572999999999979,-0.046,635.0,0.0,-478.3394
1.6270000000000095,-0.043,571.0,0.0,-697.5146
1.6809999999999832,-0.0414,500.0,0.2391,-955.7173
1.73599999999999,-0.0399,422.0,0.2373,-1061.8699
1.7909999999999968,-0.0414,335.0,0.0,-1233.1646
1.84699999999998,-0.0414,237.0,0.0,-1399.5577
1.90300000000002,-0.0414,134.0,0.0,-1491.3398
1.9529999999999745,-0.0414,31.0,0.6833,-1801.531
2.004000000000019,-0.0445,-78.0,0.4515,-1933.0103
2.055000000000007,-0.0476,-196.0,0.2241,-2003.1385
2.1059999999999945,-0.0445,-322.0,0.2223,-2070.0569
2.1580000000000155,-0.046,-458.0,0.6568,-2419.1592
2.2099999999999795,-0.0491,-604.0,0.4348,-2523.6885
2.262999999999977,-0.0522,-757.0,-0.217,-2631.3464
2.315999999999974,-0.0568,-925.0,-0.2122,-2881.4285
2.370999999999981,-0.0614,-1101.0,-1.0604,-2884.3706
2.4259999999999877,-0.0644,-1298.0,0.0,-3140.0559
2.481999999999971,-0.0752,-1506.0,-0.4083,-3356.8328
2.5389999999999873,-0.0828,-1733.0,-1.0056,-3472.2678
2.5889999999999986,-0.092,-1942.0,0.2061,-4110.5854
2.6440000000000055,-0.1212,-2183.0,-1.0572,-3666.8005
2.697999999999979,-0.1488,-2422.0,0.2126,-3836.7891
2.752999999999986,0.1488,-2491.0,7.3678,-1794.181
2.8070000000000164,0.5001,-2377.0,3.722,-163.351
2.858000000000004,0.3789,-2321.0,-4.4457,-729.0337
2.913000000000011,0.1641,-2376.0,-2.1731,-2512.6667
2.9639999999999986,0.135,-2501.0,1.3337,-2583.4607
3.01400000000001,0.2424,-2526.0,2.9476,-1051.5229
3.0679999999999836,0.2424,-2454.0,-0.7183,-418.9784
3.122000000000014,0.1902,-2409.0,-1.4743,-587.4542
3.1719999999999686,0.1764,-2431.0,0.4449,-846.3639
3.225999999999999,0.1365,-2478.0,1.437,-1306.8562
3.2760000000000105,0.1166,-2513.0,-0.4913,-1027.8475
3.329999999999984,0.1074,-2567.0,-0.2427,-791.1011
3.3840000000000146,0.0997,-2613.0,0.0,-515.14
3.437999999999988,0.0844,-2678.0,0.2401,-904.0832
3.492999999999995,0.0936,-2771.0,0.7017,-1267.0592
3.5430000000000064,0.1212,-2855.0,0.9351,-1323.386
3.59699999999998,0.1733,-2907.0,0.7374,-636.5147
3.6510000000000105,0.2102,-2850.0,0.2418,488.354
3.700999999999965,0.2777,-2724.0,1.1212,1390.0886
3.754000000000019,0.3329,-2545.0,0.6418,1579.6296
3.8070000000000164,0.3007,-2382.0,-0.856,1352.5836
3.86099999999999,0.2562,-2245.0,0.2172,1393.8624
3.9150000000000205,0.2761,-2068.0,1.0636,1954.0029
3.9710000000000036,0.3329,-1831.0,0.203,2553.9341
4.026999999999987,0.1411,-1740.0,-3.532,1098.5674
4.081000000000017,0.0031,-1725.0,-1.5221,655.0469
4.134999999999991,-0.0015,-1788.0,-0.2424,72.1018
4.1889999999999645,0.0107,-1847.0,0.2421,9.2633
4.242999999999995,0.0245,-1905.0,0.4842,157.7086
4.296999999999969,0.0353,-1953.0,0.492,136.0954
4.3489999999999895,0.0522,-1995.0,0.0,340.2482
4.401999999999987,0.0736,-2030.0,0.7623,219.3732
4.456000000000017,0.0951,-2052.0,0.6037,-15.3763
4.505999999999972,0.1243,-2066.0,1.0259,-67.1165
4.557999999999993,0.1427,-2021.0,0.2491,431.1675
4.61099999999999,0.1733,-1959.0,0.2405,536.624
4.665999999999997,0.2117,-1846.0,0.461,1146.511
4.7169999999999845,0.2577,-1694.0,0.8763,1749.1749
4.771000000000015,0.3099,-1482.0,0.0,2496.0251
4.824000000000012,0.1181,-1400.0,-4.5519,577.4097
4.879000000000019,-0.0614,-1477.0,-1.1784,-782.2571
4.930000000000007,-0.0966,-1631.0,-0.2176,-1320.4016
4.9839999999999804,-0.1335,-1818.0,-0.6323,-1823.5759
5.038999999999987,-0.1657,-2043.0,-1.0157,-2068.7988
5.09499999999997,-0.204,-2301.0,-0.8526,-2616.7432
5.149000000000001,-0.27,-2546.0,-1.492,-2457.3936
5.2029999999999745,-0.3728,-2759.0,-2.5573,-2488.5254
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
