special_info,
Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
450.0,315.0,4.00,-0.043,0,-0.0083
start_time,3109.674
omega,2.0
amplitude,0.0,amp_0,50.0
phase/pi,0.0
time,angle,position,angular_velocity,cart_velocity
0.0,0.0,0.0,0.0,0.0
0.0500000000001819,0.0,0.0,0.0,0.0
0.09999999999990905,0.0,0.0,0.0,0.0
0.15000000000009095,0.0,0.0,0.0,0.0
0.1999999999998181,0.0,0.0,0.0,0.0
0.2519999999999527,0.0,0.0,0.0,0.0
0.3009999999999309,0.0,0.0,0.0,0.0
0.3510000000001128,0.0,0.0,0.0,0.0
0.40200000000004366,0.0,0.0,0.0,0.0
0.45200000000022555,0.0,0.0,0.0,0.0
0.5019999999999527,0.0,0.0,0.0,0.0
0.5529999999998836,0.0,0.0,0.0,0.0
0.6030000000000655,0.0,0.0,0.0,0.0
0.6530000000002474,0.0,0.0,0.0,0.0
0.7040000000001783,0.0,0.0,0.0,0.0
0.7539999999999054,0.0,0.0,0.0,0.0
0.8040000000000873,0.0,0.0,0.0,0.0
0.8539999999998145,0.0,0.0,0.0,0.0
0.9039999999999964,0.0,0.0,0.0,0.0
0.9549999999999272,0.0,0.0,0.0,0.0
1.0050000000001091,0.0,0.0,0.0,0.0
1.0549999999998363,0.0,0.0,0.0,0.0
1.1050000000000182,0.0,0.0,0.0,0.0
1.1550000000002,0.0,0.0,0.0,0.0
1.2049999999999272,0.0,0.0,0.0,0.0
1.2550000000001091,0.0,0.0,0.0,0.0
1.3049999999998363,0.0,0.0,0.0,0.0
1.3550000000000182,0.0,0.0,0.0,0.0
1.405999999999949,0.0,0.0,0.0,0.0
1.456000000000131,0.0,0.0,0.0,0.0
1.5050000000001091,0.0,0.0,0.0,0.0
1.55600000000004,0.0,0.0,0.0,0.0
1.606000000000222,0.0,0.0,0.0,0.0
1.6570000000001528,0.0,0.0,0.0,0.0
1.7080000000000837,0.0,0.0,0.0,0.0
1.7600000000002183,0.0,5.0,0.0,82.5397
1.8139999999998508,0.0061,8.0,0.0,386.4258
1.8640000000000327,0.0031,-4.0,0.7674,-210.5932
1.9160000000001673,0.0092,-12.0,0.7908,-229.5688
1.9679999999998472,0.0015,-7.0,0.6628,-317.6903
2.0230000000001382,-0.0015,1.0,0.5125,-301.5282
2.076000000000022,-0.0046,6.0,0.2557,-296.7857
2.1269999999999527,-0.0046,16.0,0.0,20.5656
2.1790000000000873,-0.0031,17.0,-1.0137,363.8191
2.230000000000018,0.0015,8.0,0.0,85.5462
2.2849999999998545,0.0061,10.0,-0.5006,258.4746
2.3350000000000364,0.0046,19.0,-0.3072,379.6547
2.3850000000002183,0.0031,2.0,0.647,-292.9412
2.4349999999999454,0.0015,1.0,0.5517,-282.5059
2.4900000000002365,0.0,-4.0,0.9954,-430.9185
2.5399999999999636,-0.0031,5.0,0.0,-197.0465
2.5909999999998945,-0.0061,10.0,0.0,-195.4338
2.6419999999998254,-0.0031,16.0,0.0,93.1462
2.69399999999996,-0.0015,14.0,-0.6522,393.3833
2.7460000000000946,0.0,16.0,-0.4459,189.7883
2.7959999999998217,-0.0015,16.0,-0.7643,428.6111
2.8510000000001128,0.0,12.0,-0.7516,504.4643
2.900000000000091,0.0015,18.0,-0.7644,452.1707
2.9520000000002256,0.0046,4.0,0.3276,397.8541
3.0030000000001564,0.0077,0.0,0.8981,48.5215
3.0529999999998836,0.0,0.0,0.7539,-178.4946
3.105000000000018,-0.0061,5.0,0.0,-361.4255
3.155999999999949,-0.0061,6.0,-0.2546,-138.6288
3.2080000000000837,-0.0031,8.0,-0.4508,-69.3582
3.2600000000002183,-0.0077,9.0,-0.4513,-241.6493
3.311999999999898,-0.0061,13.0,-0.4484,182.357
3.3650000000002365,0.0,11.0,-0.759,306.2631
3.4169999999999163,-0.0015,15.0,-0.7699,357.384
3.469000000000051,0.0015,14.0,-0.7562,393.0906
3.519999999999982,0.0015,5.0,0.0,123.9605
3.5709999999999127,0.0061,-2.0,0.9202,-115.0215
3.6219999999998436,0.0031,-1.0,0.728,-194.0217
3.673000000000229,-0.0031,7.0,0.0,-244.3311
3.7260000000001128,-0.0031,4.0,0.2553,-289.726
3.77599999999984,-0.0031,6.0,0.0,-182.9233
3.826000000000022,-0.0077,14.0,0.0,-48.6111
3.880999999999858,-0.0077,9.0,-0.2529,-385.9485
3.93100000000004,-0.0077,12.0,-0.4536,-115.6323
