special_info,
Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
600.0,420.0,2.75,-0.060,0,-0.0140
start_time,971.709
omega,2.0
amplitude,0.0,amp_0,50.0
phase/pi,0.0
time,angle,position,angular_velocity,cart_velocity
0.0,0.0,0.0,0.0,0.0
0.05000000000006821,0.0,0.0,0.0,0.0
0.10000000000002274,0.0,0.0,0.0,0.0
0.1510000000000673,0.0,0.0,0.0,0.0
0.20199999999999818,0.0,0.0,0.0,0.0
0.2520000000000664,0.0,0.0,0.0,0.0
0.3020000000000209,0.0,0.0,0.0,0.0
0.35200000000008913,0.0,0.0,0.0,0.0
0.40200000000004366,0.0,0.0,0.0,0.0
0.4530000000000882,0.0,0.0,0.0,0.0
0.5040000000000191,0.0,0.0,0.0,0.0
0.5550000000000637,0.0,0.0,0.0,0.0
0.6050000000000182,0.0,0.0,0.0,0.0
0.6550000000000864,0.0,0.0,0.0,0.0
0.7060000000000173,0.0,0.0,0.0,0.0
0.7560000000000855,0.0,0.0,0.0,0.0
0.8070000000000164,0.0,0.0,0.0,0.0
0.8570000000000846,0.0,0.0,0.0,0.0
0.9070000000000391,0.0,0.0,0.0,0.0
0.9570000000001073,0.0,0.0,0.0,0.0
1.0070000000000618,0.0,0.0,0.0,0.0
1.0580000000001064,0.0,0.0,0.0,0.0
1.108000000000061,0.0,0.0,0.0,0.0
1.1580000000000155,0.0,0.0,0.0,0.0
1.2080000000000837,0.0,0.0,0.0,0.0
1.2590000000000146,0.0,0.0,0.0,0.0
1.3110000000000355,-0.0077,4.0,-0.4995,-172.7723
1.36200000000008,0.0107,26.0,-1.0157,927.6316
1.41700000000003,-0.0046,14.0,1.0375,-615.9148
1.469000000000051,0.0031,76.0,-1.2221,1224.0099
1.5190000000000055,-0.0153,98.0,0.0,271.0177
1.5720000000000027,-0.0153,150.0,-0.2521,691.0569
1.622000000000071,-0.0153,186.0,0.0,546.3875
1.6740000000000919,-0.0184,230.0,-0.2501,785.4308
1.7270000000000891,-0.023,277.0,-0.2489,737.0389
1.77900000000011,-0.023,325.0,0.0,801.1583
1.8330000000000837,-0.0276,376.0,0.0,868.9723
1.8850000000001046,-0.0322,425.0,0.0,849.2201
1.9380000000001019,-0.0383,478.0,-0.2441,1024.8317
1.9880000000000564,-0.043,523.0,-0.4829,973.933
2.0410000000000537,-0.046,570.0,-0.493,892.7682
2.094000000000051,-0.0506,608.0,-0.2456,881.7205
2.146000000000072,-0.0506,635.0,0.0,676.4
2.199000000000069,-0.0522,662.0,0.0,577.7431
2.25,-0.0399,661.0,0.3046,377.4193
2.3040000000000873,-0.0598,678.0,-0.2558,242.4304
2.3560000000001082,-0.0368,667.0,-0.2501,889.6247
2.411000000000058,-0.0491,641.0,1.4345,-694.816
2.4620000000001028,-0.0368,643.0,-0.7448,649.1525
